,player_id,Season,Date,Left,Joined,MV,Fee
5230,90681,19/20,"Aug12,2019",ManCity,Valencia,€10.00m,freetransfer
5231,90681,17/18,"May31,2018",Everton,ManCity,€15.00m,Endofloan
5232,90681,17/18,"Jan31,2018",ManCity,Everton,€15.00m,loantransfer
5233,90681,16/17,"Jun30,2017",Valencia,ManCity,€15.00m,Endofloan
5234,90681,16/17,"Aug31,2016",ManCity,Valencia,€23.00m,loantransfer
5235,855615,20/21,"Jul1,2020",St-ÉtienneU19,Saint-ÉtienneB,-,-
5236,177690,19/20,"Aug6,2019",Flamengo,Saint-Étienne,€1.75m,€1.00m
5237,177690,16/17,"Jan1,2017",Universitario,Flamengo,€600k,freetransfer
5238,177690,15/16,"Jan1,2016",UniónComercio,Universitario,€450k,?
5239,114340,17/18,"Aug9,2017",UdineseCalcio,Saint-Étienne,€2.50m,€2.50m
5240,114340,16/17,"Jan30,2017",GranadaCF,UdineseCalcio,€3.00m,Endofloan
5241,114340,16/17,"Jul14,2016",UdineseCalcio,GranadaCF,€3.50m,loantransfer
5242,114340,15/16,"Jun30,2016",Genoa,UdineseCalcio,€3.50m,Endofloan
5243,114340,15/16,"Feb1,2016",UdineseCalcio,Genoa,€3.50m,loantransfer
5244,114340,15/16,"Jan31,2016",Carpi,UdineseCalcio,€3.50m,Endofloan
5245,114340,15/16,"Jul30,2015",UdineseCalcio,Carpi,€3.80m,loantransfer
5246,857653,20/21,"Jul1,2020",St-ÉtienneU19,Saint-ÉtienneB,-,-
5247,562463,19/20,"Jul1,2019",MontpellierB,Saint-ÉtienneB,-,freetransfer
5248,562463,17/18,"Jul1,2017",MontpellierU19,MontpellierB,-,-
5249,580747,19/20,"Jan31,2020",USLDunkerque,Saint-Étienne,€50k,€450k
5250,580747,18/19,"Jul1,2018",DunkerqueB,USLDunkerque,-,-
5251,364857,21/22,"Jun30,2022",Saint-Étienne,Vit.Guimarães,€4.00m,Endofloan
5252,364857,21/22,"Jan31,2022",Vit.Guimarães,Saint-Étienne,€2.50m,Loanfee:€300k
5253,364857,18/19,"Jul1,2018",GuimarãesB,Vit.Guimarães,€450k,-
5254,364857,15/16,"Jan21,2016",ÚjpestFC,GuimarãesB,€100k,?
5255,364857,15/16,"Jan20,2016",Sint-Truiden,ÚjpestFC,€100k,Endofloan
5256,364857,15/16,"Aug10,2015",ÚjpestFC,Sint-Truiden,-,loantransfer
5257,364857,15/16,"Jul25,2015",DjolibaAC,ÚjpestFC,-,?
5258,594992,21/22,"Jan30,2022",Saint-Étienne,QuevillyRouen,€800k,freetransfer
5259,594992,19/20,"Jun30,2020",LePuyFoot,Saint-Étienne,€400k,Endofloan
5260,594992,19/20,"Jan17,2020",Saint-Étienne,LePuyFoot,€500k,loantransfer
5261,594992,19/20,"Jul1,2019",ClermontFoot,Saint-Étienne,€500k,freetransfer
5262,594992,18/19,"Jul1,2018",ClermontB,ClermontFoot,-,-
5263,594992,16/17,"Jul1,2016",ClermontU19,ClermontB,-,-
5264,855607,20/21,"Jul1,2020",St-ÉtienneU19,Saint-ÉtienneB,-,-
5265,620313,20/21,"Jul1,2020",Saint-ÉtienneB,Saint-Étienne,-,-
5266,620313,19/20,"Jan1,2020",St-ÉtienneU19,Saint-ÉtienneB,-,-
5267,620313,19/20,"Jul1,2019",St-ÉtienneU17,St-ÉtienneU19,-,-
5268,620313,18/19,"Jul1,2018",USTorcyYth.,St-ÉtienneU17,-,freetransfer
5269,469669,20/21,"Jan2,2021",BragaB,Saint-Étienne,€2.50m,€400k
5270,469669,20/21,"Jan1,2021",Saint-Étienne,BragaB,€2.50m,Endofloan
5271,469669,20/21,"Jul9,2020",BragaB,Saint-Étienne,€150k,loantransfer
5272,469669,18/19,"Aug31,2018",StadeLavallois,BragaB,€200k,?
5273,469669,16/17,"Jan31,2017",CSSedan,StadeLavallois,-,?
5274,469669,16/17,"Jul1,2016",CSSedanB,CSSedan,-,-
5275,287635,20/21,"Jun30,2021",Ankaragücü,Saint-Étienne,€1.10m,Endofloan
5276,287635,20/21,"Sep18,2020",Saint-Étienne,Ankaragücü,€2.40m,loantransfer
5277,287635,18/19,"Jun30,2019",ChievoVerona,Saint-Étienne,€4.50m,Endofloan
5278,287635,18/19,"Jan29,2019",Saint-Étienne,ChievoVerona,€5.00m,loantransfer
5279,287635,17/18,"Aug1,2017",Empoli,Saint-Étienne,€4.00m,€5.00m
5280,287635,15/16,"Jul1,2015",EmpoliU19,Empoli,€400k,-
5281,904662,21/22,"Jul1,2021",St-ÉtienneU19,Saint-ÉtienneB,-,-
5282,324795,18/19,"Jun30,2019",StadeLavallois,Saint-Étienne,€300k,Endofloan
5283,324795,18/19,"Jan29,2019",Saint-Étienne,StadeLavallois,€150k,loantransfer
5284,324795,18/19,"Jul1,2018",Saint-ÉtienneB,Saint-Étienne,-,-
5285,324795,15/16,"Jan1,2016",St-ÉtienneU19,Saint-ÉtienneB,-,-
5286,471582,19/20,"Jul5,2019",G.Bordeaux,Saint-Étienne,€4.00m,€2.00m
