,player_id,market_value_y,main_position,club full name,Score,Score_Rank,market_value_Rank
1639,95976,3000000.0,Goalkeeper,Southampton FC,41.88,815.0,3757.0
2926,177779,5000000.0,midfield Central Midfield,SC Freiburg,41.74,817.0,4807.5
1410,84765,5500000.0,Attack Centre Forward,UC Sampdoria,41.47,827.0,5008.5
4722,293257,1800000.0,Goalkeeper,Birmingham City,41.17,837.0,2828.5
317,35249,6000000.0,Attack Centre Forward,Basaksehir FK,40.77,861.0,5158.5
228,29692,1000000.0,Goalkeeper,West Ham United,40.51,870.0,2072.5
4607,288415,3200000.0,Goalkeeper,LOSC Lille,40.41,875.0,3947.0
3914,241527,5000000.0,Attack Centre Forward,US Salernitana 1919,39.91,906.5,4807.5
5227,337787,750000.0,midfield Central Midfield,St. Mirren FC,39.82,908.0,1628.0
6891,505673,3000000.0,Attack Right Winger,CD Tenerife,39.8,909.0,3757.0
612,46972,4000000.0,Attack Centre Forward,Norwich City,39.59,917.0,4335.5
5325,341227,5000000.0,Defender Left Back,Real Betis Balompié,39.36,918.0,4807.5
932,60957,2200000.0,Attack Centre Forward,VfL Bochum,39.27,922.0,3186.5
1286,78339,750000.0,Goalkeeper,FC Augsburg,38.62,940.5,1628.0
1301,79377,3500000.0,midfield Attacking Midfield,1.FC Union Berlin,38.57,945.0,4062.5
7844,658244,250000.0,Attack Centre Forward,Sassuolo Primavera,38.52,949.0,733.0
3177,192080,750000.0,Goalkeeper,Burnley FC,38.47,952.0,1628.0
6496,448854,5000000.0,Attack Centre Forward,Watford FC,38.14,979.0,4807.5
7919,678441,150000.0,Attack Centre Forward,Sampdoria Primavera,37.91,983.5,345.0
752,55099,2500000.0,midfield Defensive Midfield,SC Freiburg,37.1,1029.0,3398.0
2664,162027,800000.0,Goalkeeper,Cádiz CF,36.8,1043.0,1732.0
6221,413039,300000.0,Attack Right Winger,Brentford FC,36.730000000000004,1044.0,906.5
1625,95641,2000000.0,midfield Central Midfield,CA Osasuna,36.69,1046.0,3021.0
2839,171209,2500000.0,Attack Centre Forward,SpVgg Greuther Fürth,36.53,1053.5,3398.0
1586,93726,2500000.0,midfield Defensive Midfield,Stade Brestois 29,36.4,1062.0,3398.0
3952,243225,1000000.0,Attack Centre Forward,Slovan Bratislava,36.35,1064.5,2072.5
4210,260166,5000000.0,Attack Centre Forward,FC Girondins Bordeaux,35.78,1083.0,4807.5
8052,708084,100000.0,midfield Central Midfield,Salernitana Primavera,35.69,1086.0,168.5
4148,256429,250000.0,Attack Centre Forward,Rayo Vallecano,35.26,1094.0,733.0
4725,293569,7000000.0,midfield Central Midfield,Burnley FC,34.94,1117.5,5474.0
4147,256361,1500000.0,Attack Right Winger,Spezia Calcio,34.94,1117.5,2580.5
8220,822458,700000.0,Attack Centre Forward,Olympique Marseille,34.88,1119.0,1566.0
307,34987,2800000.0,Attack Centre Forward,LOSC Lille,34.72,1129.5,3567.0
2238,128969,6000000.0,Goalkeeper,Real Sociedad,34.66,1135.5,5158.5
279,33829,7000000.0,Defender Centre Back,LOSC Lille,34.66,1135.5,5474.0
1951,118278,4000000.0,midfield Central Midfield,ESTAC Troyes,34.18,1149.5,4335.5
3122,188888,3000000.0,Attack Second Striker,1.FC Union Berlin,34.13,1153.0,3757.0
4020,248999,4000000.0,Attack Centre Forward,SC Freiburg,34.120000000000005,1155.0,4335.5
1513,89733,6000000.0,midfield Attacking Midfield,Cádiz CF,34.0,1163.0,5158.5
1247,74960,5000000.0,Goalkeeper,Newcastle United,33.65,1174.0,4807.5
6493,448835,150000.0,Goalkeeper,Celta Vigo B,33.56,1180.5,345.0
217,29051,300000.0,Goalkeeper,RCD Mallorca,33.29,1196.0,906.5
7232,567576,200000.0,midfield Attacking Midfield,Bristol Rovers,33.1,1210.0,546.5
3874,239941,1700000.0,Attack Left Winger,AC Sparta Prague,33.05,1215.5,2778.0
7720,630995,4000000.0,midfield Attacking Midfield,Real Betis Balompié,32.95,1218.0,4335.5
3363,200188,4000000.0,midfield Attacking Midfield,Venezia FC,32.81,1220.0,4335.5
1448,85383,3000000.0,Attack Centre Forward,Cádiz CF,32.620000000000005,1225.5,3757.0
3434,204294,2500000.0,midfield Attacking Midfield,Brentford FC,32.57,1230.0,3398.0
7677,626913,2000000.0,Attack Centre Forward,Villarreal CF,32.56,1231.0,3021.0
4973,315862,1000000.0,midfield Central Midfield,Genoa CFC,32.519999999999996,1232.0,2072.5
4163,257062,5000000.0,Attack Left Winger,Rayo Vallecano,32.47,1237.0,4807.5
