Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
1874,50512,15/16,"Jul1,2015",TSGHoffenheim,1.FCKöln,€4.50m,€4.50m
1875,147573,20/21,"Sep15,2020",UnionBerlin,1.FCKöln,€7.00m,€6.50m
1876,147573,18/19,"Jul1,2018",1.FCK'lautern,UnionBerlin,€1.25m,freetransfer
1877,147573,17/18,"Aug31,2017",Norrköping,1.FCK'lautern,€700k,€650k
1878,147573,15/16,"Mar15,2016",Djurgården,Norrköping,€500k,?
1879,553285,20/21,"Jul1,2020",1.FCKölnU19,1.FCKöln,-,-
1880,553285,18/19,"Jan1,2019",1.FCKölnU17,1.FCKölnU19,-,-
1881,553285,17/18,"Jan1,2018",1.FCKölnYth.,1.FCKölnU17,-,-
1882,553285,17/18,"Jul1,2017",FSVFrankf.Jgd,1.FCKölnYth.,-,freetransfer
1883,553285,15/16,"Jul1,2015",Mainz05Yth.,FSVFrankf.Jgd,-,freetransfer
1884,78339,20/21,"Jul1,2020",UnionBerlin,FCAugsburg,€1.20m,freetransfer
1885,78339,18/19,"Jul1,2018",SCFreiburg,UnionBerlin,€500k,€150k
1886,78339,16/17,"Aug5,2016",E.Braunschweig,SCFreiburg,€900k,€1.00m
1887,146714,19/20,"Aug6,2019",Rennes,FCAugsburg,€6.00m,€7.50m
1888,146714,17/18,"Aug28,2017",SpartaPrague,Rennes,€1.50m,€3.00m
1889,146714,15/16,"Jun30,2016",SlovanLiberec,SpartaPrague,€1.00m,Endofloan
1890,146714,15/16,"Jul10,2015",SpartaPrague,SlovanLiberec,€400k,loantransfer
1891,146714,15/16,"Jul9,2015",HradecKralove,SpartaPrague,€400k,€300k
1892,392124,21/22,"Jul2,2021",HoffenheimII,FCAugsburg,€100k,€200k
1893,392124,20/21,"Jul1,2020",HoffenheimU19,HoffenheimII,-,-
1894,392124,18/19,"Jul1,2018",HoffenheimU17,HoffenheimU19,-,-
1895,392124,16/17,"Jul1,2016",HoffenheimYth.,HoffenheimU17,-,-
1896,314295,19/20,"Aug2,2019",WestHam,FCAugsburg,€4.00m,€2.00m
1897,314295,18/19,"Jun30,2019",FCAugsburg,WestHam,€4.00m,Endofloan
1898,314295,18/19,"Jan31,2019",WestHam,FCAugsburg,€7.00m,Loanfee:€500k
1899,314295,17/18,"Jun30,2018",Bor.M'gladbach,WestHam,€5.00m,Endofloan
1900,314295,17/18,"Jan31,2018",WestHam,Bor.M'gladbach,€5.00m,loantransfer
1901,314295,17/18,"Dec31,2017",Bor.M'gladbach,WestHam,€5.00m,Endofloan
1902,314295,17/18,"Jul1,2017",WestHam,Bor.M'gladbach,€5.00m,loantransfer
1903,314295,16/17,"May31,2017",Reading,WestHam,€4.00m,Endofloan
1904,314295,16/17,"Jan31,2017",WestHam,Reading,€4.00m,loantransfer
1905,314295,15/16,"Jul1,2015",WestHamU18,WestHam,-,-
1906,278343,20/21,"Jul1,2020",VfLWolfsburg,FCAugsburg,€6.80m,€7.00m
1907,278343,19/20,"Jun30,2020",FCAugsburg,VfLWolfsburg,€6.80m,Endofloan
1908,278343,19/20,"Aug28,2019",VfLWolfsburg,FCAugsburg,€3.50m,Loanfee:€1.50m
1909,278343,17/18,"Jul1,2017",1860Munich,VfLWolfsburg,€800k,€1.00m
1910,278343,15/16,"Jan13,2016",TSV1860U19,1860Munich,-,-
1911,106405,15/16,"Jan9,2016",AZAlkmaar,FCAugsburg,€3.00m,€3.00m
1912,569349,20/21,"Jun30,2021",LyngbyBK,FCAugsburg,€700k,Endofloan
1913,569349,20/21,"Oct5,2020",FCAugsburg,LyngbyBK,€700k,loantransfer
